,checkout,dairy,drinks,entrance,fruit,spices
checkout,1.0,0.0,0.0,0.0,0.0,0.0
dairy,0.10267806908968155,0.737031619219084,0.05862495780353325,0.0,0.05007314054236525,0.05159221334533588
drinks,0.2155048324079786,0.011001439440674481,0.5984988690108987,0.0,0.08801151552539585,0.08698334361505243
entrance,0.0,0.28758258055817715,0.15329648105703114,0.0,0.3776459484966968,0.1814749898880949
fruit,0.20105445388731508,0.09592382751022978,0.05524079320113314,0.0,0.5971041863393138,0.05067673906200818
spices,0.1498884995221408,0.19353297228416694,0.163109270468302,0.0,0.09127110544759477,0.4021981522777955
